"participant","Direction","Angular_disparity","Angular_disparity (2)","E","mean_changedheight","Group"
16,"upward",90,90,,1.15,"Motion"
16,"upward",120,120,,1.133333333,"Motion"
16,"downward",30,30,,1.0,"Motion"
16,"downward",60,60,,1.0,"Motion"
16,"downward",90,90,,1.1,"Motion"
16,"downward",120,120,,1.0,"Motion"
17,"upward",30,30,,1.016666667,"Motion"
17,"upward",60,60,,0.933333333,"Motion"
17,"upward",90,90,,0.95,"Motion"
17,"upward",120,120,,1.033333333,"Motion"
17,"downward",30,30,,0.916666667,"Motion"
17,"downward",60,60,,1.033333333,"Motion"
17,"downward",90,90,,1.05,"Motion"
17,"downward",120,120,,0.9,"Motion"
18,"upward",30,30,,1.133333333,"Motion"
18,"upward",60,60,,1.2,"Motion"
18,"upward",90,90,,1.25,"Motion"
18,"upward",120,120,,1.316666667,"Motion"
18,"downward",30,30,,1.066666667,"Motion"
18,"downward",60,60,,1.083333333,"Motion"
18,"downward",90,90,,0.983333333,"Motion"
18,"downward",120,120,,0.966666667,"Motion"
19,"upward",30,30,,1.166666667,"Motion"
19,"upward",60,60,,1.133333333,"Motion"
19,"upward",90,90,,1.1,"Motion"
19,"upward",120,120,,1.116666667,"Motion"
19,"downward",30,30,,1.016666667,"Motion"
19,"downward",60,60,,1.1,"Motion"
19,"downward",90,90,,1.016666667,"Motion"
19,"downward",120,120,,1.0,"Motion"
20,"upward",30,30,,1.35,"Motion"
20,"upward",60,60,,1.45,"Motion"
20,"upward",90,90,,2.016666667,"Motion"
20,"upward",120,120,,1.833333333,"Motion"
20,"downward",30,30,,1.166666667,"Motion"
20,"downward",60,60,,1.45,"Motion"
20,"downward",90,90,,1.833333333,"Motion"
20,"downward",120,120,,2.5,"Motion"
21,"upward",30,30,,1.1,"Motion"
21,"upward",60,60,,1.216666667,"Motion"
21,"upward",90,90,,1.416666667,"Motion"
21,"upward",120,120,,1.316666667,"Motion"
21,"downward",30,30,,1.116666667,"Motion"
21,"downward",60,60,,1.183333333,"Motion"
21,"downward",90,90,,1.2,"Motion"
21,"downward",120,120,,1.15,"Motion"
22,"upward",30,30,,1.0,"Motion"
22,"upward",60,60,,0.983333333,"Motion"
22,"upward",90,90,,1.05,"Motion"
22,"upward",120,120,,1.1,"Motion"
22,"downward",30,30,,1.166666667,"Motion"
22,"downward",60,60,,1.133333333,"Motion"
22,"downward",90,90,,1.116666667,"Motion"
22,"downward",120,120,,1.05,"Motion"
23,"upward",30,30,,1.15,"Motion"
23,"upward",60,60,,1.25,"Motion"
23,"upward",90,90,,1.283333333,"Motion"
23,"upward",120,120,,1.35,"Motion"
23,"downward",30,30,,1.033333333,"Motion"
23,"downward",60,60,,1.066666667,"Motion"
23,"downward",90,90,,1.283333333,"Motion"
23,"downward",120,120,,1.333333333,"Motion"
24,"upward",30,30,,1.05,"Motion"
24,"upward",60,60,,1.016666667,"Motion"
24,"upward",90,90,,1.1,"Motion"
24,"upward",120,120,,1.1,"Motion"
24,"downward",30,30,,1.016666667,"Motion"
24,"downward",60,60,,1.0,"Motion"
24,"downward",90,90,,1.016666667,"Motion"
24,"downward",120,120,,0.95,"Motion"
25,"upward",30,30,,1.083333333,"Motion"
25,"upward",60,60,,1.033333333,"Motion"
25,"upward",90,90,,1.116666667,"Motion"
25,"upward",120,120,,1.116666667,"Motion"
25,"downward",30,30,,1.116666667,"Motion"
25,"downward",60,60,,1.033333333,"Motion"
25,"downward",90,90,,1.016666667,"Motion"
25,"downward",120,120,,1.05,"Motion"
26,"upward",30,30,,1.333333333,"Motion"
26,"upward",60,60,,1.283333333,"Motion"
26,"upward",90,90,,1.333333333,"Motion"
26,"upward",120,120,,1.35,"Motion"
26,"downward",30,30,,1.016666667,"Motion"
26,"downward",60,60,,1.216666667,"Motion"
26,"downward",90,90,,1.25,"Motion"
26,"downward",120,120,,1.15,"Motion"
27,"upward",30,30,,1.166666667,"Motion"
27,"upward",60,60,,1.433333333,"Motion"
27,"upward",90,90,,1.366666667,"Motion"
27,"upward",120,120,,1.683333333,"Motion"
27,"downward",30,30,,1.033333333,"Motion"
27,"downward",60,60,,1.116666667,"Motion"
27,"downward",90,90,,1.4,"Motion"
27,"downward",120,120,,1.316666667,"Motion"
28,"upward",30,30,,1.133333333,"Motion"
28,"upward",60,60,,1.333333333,"Motion"
28,"upward",90,90,,1.433333333,"Motion"
28,"upward",120,120,,1.65,"Motion"
28,"downward",30,30,,1.183333333,"Motion"
28,"downward",60,60,,1.316666667,"Motion"
28,"downward",90,90,,1.4,"Motion"
28,"downward",120,120,,1.366666667,"Motion"
29,"upward",30,30,,1.066666667,"Motion"
29,"upward",60,60,,1.083333333,"Motion"
29,"upward",90,90,,1.133333333,"Motion"
29,"upward",120,120,,1.133333333,"Motion"
29,"downward",30,30,,1.033333333,"Motion"
29,"downward",60,60,,1.066666667,"Motion"
29,"downward",90,90,,0.983333333,"Motion"
29,"downward",120,120,,0.983333333,"Motion"
