"participant","Direction","Angular_disparity","Angular_disparity (2)","E","mean_changedheight","Group"
8,"upward",30,30,,1.36,"Static"
8,"upward",60,60,,1.22,"Static"
8,"upward",90,90,,1.16,"Static"
8,"upward",120,120,,1.05,"Static"
9,"downward",30,30,,1.133333333,"Static"
9,"downward",60,60,,1.14,"Static"
9,"downward",90,90,,1.1,"Static"
9,"downward",120,120,,1.1,"Static"
9,"upward",30,30,,1.033333333,"Static"
9,"upward",60,60,,1.05,"Static"
9,"upward",90,90,,1.0,"Static"
9,"upward",120,120,,1.05,"Static"
10,"downward",30,30,,0.983333333,"Static"
10,"downward",60,60,,1.033333333,"Static"
10,"downward",90,90,,0.983333333,"Static"
10,"downward",120,120,,0.95,"Static"
10,"upward",30,30,,1.083333333,"Static"
10,"upward",60,60,,1.033333333,"Static"
10,"upward",90,90,,1.066666667,"Static"
10,"upward",120,120,,1.116666667,"Static"
11,"downward",30,30,,1.05,"Static"
11,"downward",60,60,,1.066666667,"Static"
11,"downward",90,90,,1.166666667,"Static"
11,"downward",120,120,,1.066666667,"Static"
11,"upward",30,30,,1.033333333,"Static"
11,"upward",60,60,,1.0,"Static"
11,"upward",90,90,,1.133333333,"Static"
11,"upward",120,120,,1.05,"Static"
12,"downward",30,30,,1.033333333,"Static"
12,"downward",60,60,,1.066666667,"Static"
12,"downward",90,90,,1.016666667,"Static"
12,"downward",120,120,,1.016666667,"Static"
12,"upward",30,30,,1.066666667,"Static"
12,"upward",60,60,,0.966666667,"Static"
12,"upward",90,90,,1.033333333,"Static"
12,"upward",120,120,,1.05,"Static"
13,"downward",30,30,,1.033333333,"Static"
13,"downward",60,60,,1.033333333,"Static"
13,"downward",90,90,,1.083333333,"Static"
13,"downward",120,120,,1.0,"Static"
13,"upward",30,30,,1.066666667,"Static"
13,"upward",60,60,,1.083333333,"Static"
13,"upward",90,90,,1.15,"Static"
13,"upward",120,120,,1.133333333,"Static"
14,"downward",30,30,,0.95,"Static"
14,"downward",60,60,,1.05,"Static"
14,"downward",90,90,,0.983333333,"Static"
14,"downward",120,120,,0.95,"Static"
14,"upward",30,30,,1.08,"Static"
14,"upward",60,60,,1.016666667,"Static"
14,"upward",90,90,,1.0,"Static"
14,"upward",120,120,,1.033333333,"Static"
15,"downward",30,30,,1.05,"Static"
15,"downward",60,60,,1.0,"Static"
15,"downward",90,90,,1.033333333,"Static"
15,"downward",120,120,,1.016666667,"Static"
15,"upward",30,30,,0.983333333,"Static"
15,"upward",60,60,,0.95,"Static"
15,"upward",90,90,,1.0,"Static"
15,"upward",120,120,,1.033333333,"Static"
16,"downward",30,30,,1.033333333,"Static"
16,"downward",60,60,,1.033333333,"Static"
16,"downward",90,90,,1.0,"Static"
16,"downward",120,120,,1.0,"Static"
16,"upward",30,30,,1.083333333,"Static"
16,"upward",60,60,,1.066666667,"Static"
16,"upward",90,90,,1.083333333,"Static"
16,"upward",120,120,,1.1,"Static"
17,"downward",30,30,,1.2,"Static"
17,"downward",60,60,,1.12,"Static"
17,"downward",90,90,,1.26,"Static"
17,"downward",120,120,,1.283333333,"Static"
17,"upward",30,30,,1.283333333,"Static"
17,"upward",60,60,,1.233333333,"Static"
17,"upward",90,90,,1.2,"Static"
17,"upward",120,120,,1.133333333,"Static"
18,"downward",30,30,,1.12,"Static"
18,"downward",60,60,,1.02,"Static"
18,"downward",90,90,,0.85,"Static"
18,"downward",120,120,,0.966666667,"Static"
18,"upward",30,30,,1.283333333,"Static"
18,"upward",60,60,,1.45,"Static"
18,"upward",90,90,,1.183333333,"Static"
18,"upward",120,120,,1.083333333,"Static"
19,"downward",30,30,,0.95,"Static"
19,"downward",60,60,,1.083333333,"Static"
19,"downward",90,90,,1.133333333,"Static"
19,"downward",120,120,,1.033333333,"Static"
19,"upward",30,30,,1.116666667,"Static"
19,"upward",60,60,,1.083333333,"Static"
19,"upward",90,90,,1.083333333,"Static"
19,"upward",120,120,,1.083333333,"Static"
20,"downward",30,30,,1.166666667,"Static"
20,"downward",60,60,,1.483333333,"Static"
20,"downward",90,90,,1.75,"Static"
20,"downward",120,120,,2.15,"Static"
20,"upward",30,30,,1.316666667,"Static"
20,"upward",60,60,,1.383333333,"Static"
20,"upward",90,90,,2.05,"Static"
20,"upward",120,120,,2.366666667,"Static"
21,"downward",30,30,,1.066666667,"Static"
21,"downward",60,60,,1.1,"Static"
21,"downward",90,90,,1.116666667,"Static"
21,"downward",120,120,,1.05,"Static"
21,"upward",30,30,,1.15,"Static"
21,"upward",60,60,,1.15,"Static"
21,"upward",90,90,,1.2,"Static"
21,"upward",120,120,,1.2,"Static"
22,"downward",30,30,,1.15,"Static"
22,"downward",60,60,,1.083333333,"Static"
22,"downward",90,90,,1.116666667,"Static"
22,"downward",120,120,,1.116666667,"Static"
22,"upward",30,30,,0.9,"Static"
22,"upward",60,60,,1.0,"Static"
22,"upward",90,90,,1.033333333,"Static"
22,"upward",120,120,,0.966666667,"Static"
23,"downward",30,30,,1.16,"Static"
23,"downward",60,60,,1.883333333,"Static"
23,"downward",90,90,,1.866666667,"Static"
23,"downward",120,120,,1.75,"Static"
23,"upward",30,30,,1.116666667,"Static"
23,"upward",60,60,,1.2,"Static"
23,"upward",90,90,,1.683333333,"Static"
23,"upward",120,120,,1.7,"Static"
24,"downward",30,30,,1.05,"Static"
24,"downward",60,60,,1.083333333,"Static"
24,"downward",90,90,,1.05,"Static"
24,"downward",120,120,,1.033333333,"Static"
24,"upward",30,30,,0.983333333,"Static"
24,"upward",60,60,,0.983333333,"Static"
24,"upward",90,90,,1.05,"Static"
24,"upward",120,120,,1.033333333,"Static"
25,"downward",30,30,,1.183333333,"Static"
25,"downward",60,60,,1.3,"Static"
25,"downward",90,90,,1.2,"Static"
25,"downward",120,120,,1.3,"Static"
25,"upward",30,30,,1.116666667,"Static"
25,"upward",60,60,,1.1,"Static"
25,"upward",90,90,,1.166666667,"Static"
25,"upward",120,120,,1.183333333,"Static"
26,"downward",30,30,,1.46,"Static"
26,"downward",60,60,,1.533333333,"Static"
26,"downward",90,90,,1.816666667,"Static"
26,"downward",120,120,,1.816666667,"Static"
26,"upward",30,30,,1.216666667,"Static"
26,"upward",60,60,,1.333333333,"Static"
26,"upward",90,90,,1.733333333,"Static"
26,"upward",120,120,,1.9,"Static"
27,"downward",30,30,,1.416666667,"Static"
27,"downward",60,60,,1.95,"Static"
27,"downward",90,90,,2.35,"Static"
27,"downward",120,120,,2.12,"Static"
27,"upward",30,30,,1.633333333,"Static"
27,"upward",60,60,,2.066666667,"Static"
27,"upward",90,90,,1.9,"Static"
27,"upward",120,120,,2.366666667,"Static"
28,"downward",30,30,,0.983333333,"Static"
28,"downward",60,60,,1.1,"Static"
28,"downward",90,90,,1.15,"Static"
28,"downward",120,120,,0.933333333,"Static"
28,"upward",30,30,,1.266666667,"Static"
28,"upward",60,60,,1.2,"Static"
28,"upward",90,90,,1.316666667,"Static"
28,"upward",120,120,,1.516666667,"Static"
29,"downward",30,30,,1.083333333,"Static"
29,"downward",60,60,,1.083333333,"Static"
29,"downward",90,90,,1.15,"Static"
29,"downward",120,120,,1.083333333,"Static"
29,"upward",30,30,,1.033333333,"Static"
29,"upward",60,60,,1.033333333,"Static"
29,"upward",90,90,,1.066666667,"Static"
29,"upward",120,120,,1.1,"Static"
